,raceid3,driverId,grid3,position_3,positionorder3,points3,laps,fastestlap3,fastestlapspeed3,qposition3,lap,position_y,meanlaptime3,fastlaptime3,year,round,circuitId,driverref3,number,code,forename,surname,dob,nationality,pos3,points3,raceid1,grid1,position_1,positionorder1,points1,laps_x,fastestlap1,fastestlapspeed1,qposition1,lap_x,position_y_x,meanlaptime1,fastlaptime1,round_x,circuitId_x,driverref1,number_x,code_x,forename_x,surname_x,dob_x,nationality_x,pos1,points1,raceid2,grid2,position_2,positionorder2,points2,laps_y,fastestlap2,fastestlapspeed2,qposition2,lap_y,position_y_y,meanlaptime2,fastlaptime2,round_y,circuitId_y,driverref2,number_y,code_y,forename_y,surname_y,dob_y,nationality_y,pos2,points2
44,55,4,3,1.0,1,10.0,57,49.0,221.499,3.0,1.0,2.0,99436.31578947367,86189.0,2006,3,1,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,1.0,134.0,53.0,4.0,1.0,1.0,10.0,57.0,21.0,210.551,4.0,1.0,2.0,94494.82456140351,92534.0,1.0,3.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,1.0,134.0,54.0,7.0,2.0,2.0,8.0,56.0,45.0,210.487,8.0,1.0,3.0,97234.17857142855,94803.0,2.0,2.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,1.0,134.0
45,55,8,4,2.0,2,8.0,57,57.0,221.869,4.0,1.0,3.0,99468.40350877194,86045.0,2006,3,1,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,5.0,65.0,53.0,22.0,3.0,3.0,6.0,57.0,29.0,209.803,22.0,1.0,13.0,94834.47368421053,92864.0,1.0,3.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,5.0,65.0,54.0,6.0,,22.0,0.0,0.0,,,7.0,,,,,2.0,2.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,5.0,65.0
46,55,23,6,3.0,3,6.0,57,45.0,217.41,6.0,1.0,5.0,99871.82456140351,87810.0,2006,3,1,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,10.0,20.0,53.0,17.0,14.0,14.0,0.0,56.0,25.0,207.021,17.0,1.0,16.0,96866.57142857145,94112.0,1.0,3.0,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,10.0,20.0,54.0,22.0,8.0,8.0,1.0,56.0,34.0,208.544,10.0,1.0,13.0,98603.875,95686.0,2.0,2.0,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,10.0,20.0
47,55,2,8,4.0,4,5.0,57,49.0,217.683,8.0,1.0,7.0,99980.73684210527,87700.0,2006,3,1,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,9.0,23.0,53.0,10.0,12.0,12.0,0.0,56.0,26.0,207.772,10.0,1.0,19.0,96363.03571428572,93772.0,1.0,3.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,9.0,23.0,54.0,11.0,,15.0,0.0,48.0,41.0,208.403,15.0,1.0,6.0,98147.89583333331,95751.0,2.0,2.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,9.0,23.0
48,55,21,2,5.0,5,4.0,57,53.0,218.028,2.0,1.0,19.0,100110.36842105264,87561.0,2006,3,1,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,4.0,72.0,53.0,9.0,,21.0,0.0,21.0,15.0,206.564,9.0,1.0,7.0,100944.80952380953,94320.0,1.0,3.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,4.0,72.0,54.0,1.0,1.0,1.0,10.0,56.0,16.0,209.402,1.0,1.0,1.0,97152.30357142855,95294.0,2.0,2.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,4.0,72.0
49,55,35,19,6.0,6,3.0,57,56.0,216.152,9.0,1.0,11.0,100305.68421052633,88321.0,2006,3,1,villeneuve,,VIL,Jacques,Villeneuve,09/04/1971,Canadian,15.0,7.0,53.0,11.0,,20.0,0.0,29.0,20.0,207.945,11.0,1.0,11.0,96194.65517241381,93694.0,1.0,3.0,villeneuve,,VIL,Jacques,Villeneuve,09/04/1971,Canadian,15.0,7.0,54.0,10.0,7.0,7.0,2.0,56.0,43.0,207.858,14.0,1.0,9.0,98589.10714285713,96002.0,2.0,2.0,villeneuve,,VIL,Jacques,Villeneuve,09/04/1971,Canadian,15.0,7.0
50,55,22,16,7.0,7,2.0,57,32.0,217.707,17.0,1.0,14.0,100346.91228070176,87690.0,2006,3,1,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,7.0,30.0,53.0,6.0,15.0,15.0,0.0,56.0,14.0,207.621,6.0,1.0,5.0,97189.07142857145,93840.0,1.0,3.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,7.0,30.0,54.0,20.0,10.0,10.0,0.0,55.0,54.0,207.456,12.0,1.0,15.0,99149.49090909088,96188.0,2.0,2.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,7.0,30.0
51,55,14,11,8.0,8,1.0,57,32.0,216.326,12.0,1.0,15.0,100383.38596491226,88250.0,2006,3,1,coulthard,,COU,David,Coulthard,27/03/1971,British,13.0,14.0,53.0,13.0,10.0,10.0,0.0,57.0,26.0,208.653,13.0,1.0,10.0,95820.1052631579,93376.0,1.0,3.0,coulthard,,COU,David,Coulthard,27/03/1971,British,13.0,14.0,54.0,19.0,,20.0,0.0,10.0,4.0,203.458,11.0,1.0,11.0,100749.9,98078.0,2.0,2.0,coulthard,,COU,David,Coulthard,27/03/1971,British,13.0,14.0
52,55,26,18,9.0,9,0.0,57,26.0,216.039,19.0,1.0,10.0,100380.47368421053,88367.0,2006,3,1,speed,,SPE,Scott,Speed,24/01/1983,American,20.0,0.0,53.0,16.0,13.0,13.0,0.0,56.0,45.0,209.253,16.0,1.0,14.0,96461.44642857145,93108.0,1.0,3.0,speed,,SPE,Scott,Speed,24/01/1983,American,20.0,0.0,54.0,12.0,,16.0,0.0,41.0,25.0,205.057,17.0,1.0,12.0,100035.41463414633,97313.0,2.0,2.0,speed,,SPE,Scott,Speed,24/01/1983,American,20.0,0.0
53,55,18,1,10.0,10,0.0,56,17.0,217.437,1.0,1.0,1.0,100277.46428571428,87799.0,2006,3,1,button,22.0,BUT,Jenson,Button,19/01/1980,British,6.0,56.0,53.0,3.0,4.0,4.0,5.0,57.0,39.0,210.109,3.0,1.0,6.0,94845.56140350876,92729.0,1.0,3.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,6.0,56.0,54.0,2.0,3.0,3.0,6.0,56.0,35.0,208.723,2.0,1.0,2.0,97324.28571428572,95604.0,2.0,2.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,6.0,56.0
54,55,27,17,11.0,11,0.0,56,53.0,213.931,18.0,1.0,17.0,102510.78571428572,89238.0,2006,3,1,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,22.0,0.0,53.0,18.0,,22.0,0.0,0.0,,,18.0,,,,,1.0,3.0,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,22.0,0.0,54.0,15.0,12.0,12.0,0.0,54.0,34.0,203.209,19.0,1.0,18.0,101337.24074074074,98198.0,2.0,2.0,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,22.0,0.0
55,55,11,21,12.0,12,0.0,55,54.0,210.775,21.0,1.0,13.0,104484.83636363636,90574.0,2006,3,1,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,23.0,0.0,53.0,20.0,18.0,18.0,0.0,53.0,17.0,200.642,20.0,1.0,17.0,103276.01886792453,97104.0,1.0,3.0,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,23.0,0.0,54.0,17.0,14.0,14.0,0.0,53.0,14.0,199.151,21.0,1.0,16.0,102955.83018867923,100199.0,2.0,2.0,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,23.0,0.0
56,55,34,22,13.0,13,0.0,54,49.0,203.663,22.0,1.0,16.0,106267.27777777775,93737.0,2006,3,1,ide,,IDE,Yuji,Ide,21/01/1975,Japanese,25.0,0.0,53.0,21.0,,19.0,0.0,35.0,11.0,198.197,21.0,1.0,18.0,121724.85714285714,98302.0,1.0,3.0,ide,,IDE,Yuji,Ide,21/01/1975,Japanese,25.0,0.0,54.0,18.0,,17.0,0.0,33.0,18.0,194.05,22.0,1.0,19.0,106020.0,102833.0,2.0,2.0,ide,,IDE,Yuji,Ide,21/01/1975,Japanese,25.0,0.0
57,55,31,5,,14,0.0,46,45.0,218.27,5.0,1.0,4.0,105652.19565217392,87464.0,2006,3,1,montoya,,MON,Juan,Pablo Montoya,20/09/1975,Colombian,8.0,26.0,53.0,5.0,5.0,5.0,4.0,57.0,21.0,210.013,5.0,1.0,4.0,95144.7894736842,92771.0,1.0,3.0,montoya,,MON,Juan,Pablo Montoya,20/09/1975,Colombian,8.0,26.0,54.0,5.0,4.0,4.0,5.0,56.0,39.0,208.806,6.0,1.0,5.0,97855.0,95566.0,2.0,2.0,montoya,,MON,Juan,Pablo Montoya,20/09/1975,Colombian,8.0,26.0
58,55,33,20,,15,0.0,39,31.0,212.86,20.0,1.0,18.0,107273.56410256412,89687.0,2006,3,1,monteiro,,TMO,Tiago,Monteiro,24/07/1976,Portuguese,21.0,0.0,53.0,19.0,17.0,17.0,0.0,55.0,41.0,203.076,19.0,1.0,20.0,98466.23636363637,95940.0,1.0,3.0,monteiro,,TMO,Tiago,Monteiro,24/07/1976,Portuguese,21.0,0.0,54.0,16.0,13.0,13.0,0.0,54.0,39.0,200.53,20.0,1.0,20.0,102560.03703703704,99510.0,2.0,2.0,monteiro,,TMO,Tiago,Monteiro,24/07/1976,Portuguese,21.0,0.0
59,55,24,12,,16,0.0,37,25.0,216.97,13.0,1.0,9.0,102358.64864864864,87988.0,2006,3,1,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,19.0,1.0,53.0,15.0,11.0,11.0,0.0,57.0,26.0,208.421,15.0,1.0,12.0,96003.54385964911,93480.0,1.0,3.0,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,19.0,1.0,54.0,13.0,11.0,11.0,0.0,54.0,40.0,204.902,18.0,1.0,17.0,101216.03703703704,97387.0,2.0,2.0,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,19.0,1.0
60,55,30,10,,17,0.0,32,27.0,218.981,11.0,1.0,8.0,98678.9375,87180.0,2006,3,1,michael_schumacher,,MSC,Michael,Schumacher,03/01/1969,German,2.0,121.0,53.0,1.0,2.0,2.0,8.0,57.0,38.0,210.576,1.0,1.0,1.0,94516.68421052633,92523.0,1.0,3.0,michael_schumacher,,MSC,Michael,Schumacher,03/01/1969,German,2.0,121.0,54.0,14.0,6.0,6.0,3.0,56.0,44.0,208.629,4.0,1.0,10.0,97935.41071428572,95647.0,2.0,2.0,michael_schumacher,,MSC,Michael,Schumacher,03/01/1969,German,2.0,121.0
61,55,17,7,,18,0.0,22,19.0,217.435,7.0,1.0,6.0,101691.04545454547,87800.0,2006,3,1,webber,,WEB,Mark,Webber,27/08/1976,Australian,14.0,7.0,53.0,7.0,6.0,6.0,3.0,57.0,25.0,210.265,7.0,1.0,8.0,95230.47368421053,92660.0,1.0,3.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,14.0,7.0,54.0,4.0,,19.0,0.0,15.0,12.0,206.206,5.0,1.0,4.0,99641.86666666668,96771.0,2.0,2.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,14.0,7.0
62,55,32,13,,19,0.0,4,4.0,188.363,14.0,1.0,12.0,131418.75,101351.0,2006,3,1,klien,,KLI,Christian,Klien,07/02/1983,Austrian,18.0,2.0,53.0,8.0,8.0,8.0,1.0,57.0,40.0,209.02,8.0,1.0,9.0,95666.24561403508,93212.0,1.0,3.0,klien,,KLI,Christian,Klien,07/02/1983,Austrian,18.0,2.0,54.0,8.0,,18.0,0.0,26.0,14.0,206.002,9.0,1.0,21.0,133359.96153846153,96867.0,2.0,2.0,klien,,KLI,Christian,Klien,07/02/1983,Austrian,18.0,2.0
63,55,15,9,,20,0.0,0,,,10.0,,,,,2006,3,1,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,12.0,15.0,53.0,14.0,16.0,16.0,0.0,56.0,24.0,205.406,14.0,1.0,15.0,97347.60714285713,94852.0,1.0,3.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,12.0,15.0,54.0,9.0,9.0,9.0,0.0,55.0,52.0,207.042,13.0,1.0,8.0,98948.03636363636,96380.0,2.0,2.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,12.0,15.0
64,55,3,14,,21,0.0,0,,,15.0,,,,,2006,3,1,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,17.0,4.0,53.0,12.0,7.0,7.0,2.0,57.0,42.0,210.838,12.0,1.0,21.0,95600.84210526316,92408.0,1.0,3.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,17.0,4.0,54.0,3.0,,21.0,0.0,6.0,6.0,204.946,3.0,1.0,7.0,99392.83333333331,97366.0,2.0,2.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,17.0,4.0
65,55,13,15,,22,0.0,0,,,16.0,,,,,2006,3,1,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,3.0,80.0,53.0,2.0,9.0,9.0,0.0,57.0,28.0,210.086,2.0,1.0,3.0,95721.26315789473,92739.0,1.0,3.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,3.0,80.0,54.0,21.0,5.0,5.0,4.0,56.0,51.0,207.962,16.0,1.0,14.0,97924.69642857145,95954.0,2.0,2.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,3.0,80.0
66,3,20,1,1.0,1,10.0,56,42.0,174.235,1.0,1.0,1.0,126133.66071428572,112627.0,2009,3,17,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,2.0,84.0,1.0,3.0,13.0,13.0,0.0,56.0,8.0,216.596,3.0,1.0,2.0,96325.44642857145,88140.0,1.0,1.0,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,2.0,84.0,2.0,13.0,15.0,15.0,0.0,30.0,10.0,202.737,3.0,1.0,11.0,108116.8,98427.0,2.0,2.0,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,2.0,84.0
67,3,17,3,2.0,2,8.0,56,42.0,173.69,3.0,1.0,3.0,126329.55357142855,112980.0,2009,3,17,webber,,WEB,Mark,Webber,27/08/1976,Australian,4.0,69.5,1.0,8.0,12.0,12.0,0.0,57.0,38.0,215.695,10.0,1.0,19.0,99231.52631578947,88508.0,1.0,1.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,4.0,69.5,2.0,5.0,6.0,6.0,1.5,31.0,14.0,204.304,7.0,1.0,7.0,109127.58064516127,97672.0,2.0,2.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,4.0,69.5
68,3,18,5,3.0,3,6.0,56,44.0,172.825,5.0,1.0,5.0,126936.78571428572,113546.0,2009,3,17,button,22.0,BUT,Jenson,Button,19/01/1980,British,1.0,95.0,1.0,1.0,1.0,1.0,10.0,58.0,17.0,216.891,1.0,1.0,1.0,97513.51724137928,88020.0,1.0,1.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,1.0,95.0,2.0,1.0,1.0,1.0,5.0,31.0,18.0,206.483,1.0,1.0,3.0,107439.41935483873,96641.0,2.0,2.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,1.0,95.0
69,3,22,4,4.0,4,5.0,56,42.0,174.289,4.0,1.0,4.0,127271.23214285714,112592.0,2009,3,17,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,3.0,77.0,1.0,2.0,2.0,2.0,8.0,58.0,43.0,214.344,2.0,1.0,7.0,97527.43103448275,89066.0,1.0,1.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,3.0,77.0,2.0,8.0,5.0,5.0,2.0,31.0,17.0,204.698,4.0,1.0,5.0,108967.16129032258,97484.0,2.0,2.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,3.0,77.0
70,3,5,12,5.0,5,4.0,56,41.0,171.361,12.0,1.0,12.0,127296.19642857145,114516.0,2009,3,17,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,12.0,22.0,1.0,12.0,,19.0,0.0,0.0,,,14.0,,,,,1.0,1.0,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,12.0,22.0,2.0,14.0,,20.0,0.0,0.0,,,14.0,,,,,2.0,2.0,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,12.0,22.0
71,3,1,9,6.0,6,3.0,56,39.0,171.138,9.0,1.0,9.0,127416.98214285714,114665.0,2009,3,17,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,5.0,49.0,1.0,18.0,,20.0,0.0,58.0,39.0,214.455,15.0,1.0,13.0,97563.75862068962,89020.0,1.0,1.0,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,5.0,49.0,2.0,12.0,7.0,7.0,1.0,31.0,17.0,201.276,13.0,1.0,10.0,109398.54838709676,99141.0,2.0,2.0,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,5.0,49.0
72,3,10,19,7.0,7,2.0,56,42.0,174.117,14.0,1.0,20.0,127463.58928571428,112703.0,2009,3,17,glock,,GLO,Timo,Glock,18/03/1982,German,10.0,24.0,1.0,19.0,4.0,4.0,5.0,58.0,53.0,215.92,6.0,1.0,16.0,97589.98275862072,88416.0,1.0,1.0,glock,,GLO,Timo,Glock,18/03/1982,German,10.0,24.0,2.0,3.0,3.0,3.0,3.0,31.0,18.0,200.74,5.0,1.0,8.0,108197.90322580644,99406.0,2.0,2.0,glock,,GLO,Timo,Glock,18/03/1982,German,10.0,24.0
73,3,67,10,8.0,8,1.0,56,42.0,171.25,10.0,1.0,10.0,127498.64285714286,114590.0,2009,3,17,buemi,,BUE,Sج©bastien,Buemi,31/10/1988,Swiss,,,1.0,13.0,7.0,7.0,2.0,58.0,34.0,213.95,16.0,1.0,10.0,97617.03448275864,89230.0,1.0,1.0,buemi,,BUE,Sج©bastien,Buemi,31/10/1988,Swiss,,,2.0,20.0,16.0,16.0,0.0,30.0,16.0,201.689,20.0,1.0,18.0,109024.53333333334,98938.0,2.0,2.0,buemi,,BUE,Sج©bastien,Buemi,31/10/1988,Swiss,,
74,3,4,2,9.0,9,0.0,56,38.0,171.413,2.0,1.0,2.0,127639.17857142855,114481.0,2009,3,17,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,9.0,26.0,1.0,10.0,5.0,5.0,4.0,58.0,53.0,215.199,12.0,1.0,14.0,97597.63793103448,88712.0,1.0,1.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,9.0,26.0,2.0,9.0,11.0,11.0,0.0,31.0,17.0,201.551,10.0,1.0,4.0,110969.16129032258,99006.0,2.0,2.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,9.0,26.0
75,3,8,8,10.0,10,0.0,56,38.0,170.054,8.0,1.0,8.0,127772.05357142855,115396.0,2009,3,17,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,6.0,48.0,1.0,7.0,15.0,15.0,0.0,55.0,35.0,215.744,9.0,1.0,5.0,97078.2,88488.0,1.0,1.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,6.0,48.0,2.0,7.0,14.0,14.0,0.0,31.0,17.0,202.683,9.0,1.0,6.0,112047.19354838708,98453.0,2.0,2.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,6.0,48.0
76,3,7,15,11.0,11,0.0,56,43.0,172.934,16.0,1.0,15.0,127815.01785714286,113474.0,2009,3,17,bourdais,,BOU,Sج©bastien,Bourdais,28/02/1979,French,,,1.0,17.0,8.0,8.0,1.0,58.0,50.0,212.537,20.0,1.0,12.0,97622.10344827586,89823.0,1.0,1.0,bourdais,,BOU,Sج©bastien,Bourdais,28/02/1979,French,,,2.0,15.0,10.0,10.0,0.0,31.0,17.0,201.072,15.0,1.0,15.0,110735.03225806453,99242.0,2.0,2.0,bourdais,,BOU,Sج©bastien,Bourdais,28/02/1979,French,,
77,3,2,11,12.0,12,0.0,56,40.0,171.898,11.0,1.0,11.0,127844.98214285714,114158.0,2009,3,17,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,13.0,19.0,1.0,9.0,10.0,10.0,0.0,58.0,48.0,216.245,11.0,1.0,17.0,97635.6724137931,88283.0,1.0,1.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,13.0,19.0,2.0,10.0,2.0,2.0,4.0,31.0,17.0,201.392,11.0,1.0,9.0,108172.3870967742,99084.0,2.0,2.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,13.0,19.0
78,3,9,17,13.0,13,0.0,56,44.0,170.122,18.0,1.0,19.0,128041.75,115350.0,2009,3,17,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,14.0,17.0,1.0,4.0,14.0,14.0,0.0,55.0,36.0,216.97,4.0,1.0,4.0,95160.6909090909,87988.0,1.0,1.0,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,14.0,17.0,2.0,6.0,,19.0,0.0,1.0,,,8.0,1.0,19.0,122738.0,122738.0,2.0,2.0,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,14.0,17.0
79,3,21,20,14.0,14,0.0,55,37.0,168.821,20.0,1.0,18.0,128887.56363636366,116239.0,2009,3,17,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,15.0,8.0,1.0,15.0,11.0,11.0,0.0,58.0,51.0,214.491,18.0,1.0,11.0,97640.65517241381,89005.0,1.0,1.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,15.0,8.0,2.0,18.0,18.0,18.0,0.0,29.0,16.0,200.738,18.0,1.0,16.0,110209.13793103448,99407.0,2.0,2.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,15.0,8.0
80,3,3,7,15.0,15,0.0,55,55.0,171.77,7.0,1.0,7.0,129292.16363636365,114243.0,2009,3,17,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,7.0,34.5,1.0,5.0,6.0,6.0,3.0,58.0,48.0,217.668,5.0,1.0,6.0,97612.1724137931,87706.0,1.0,1.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,7.0,34.5,2.0,4.0,8.0,8.0,0.5,31.0,13.0,204.459,6.0,1.0,1.0,109748.32258064515,97598.0,2.0,2.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,7.0,34.5
81,3,12,16,16.0,16,0.0,54,42.0,169.849,17.0,1.0,16.0,131414.92592592593,115535.0,2009,3,17,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,21.0,0.0,1.0,14.0,,17.0,0.0,24.0,17.0,210.943,17.0,1.0,9.0,101765.58333333331,90502.0,1.0,1.0,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,21.0,0.0,2.0,17.0,13.0,13.0,0.0,31.0,18.0,201.019,17.0,1.0,13.0,111204.35483870967,99268.0,2.0,2.0,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,21.0,0.0
82,3,16,18,17.0,17,0.0,50,41.0,170.971,19.0,1.0,17.0,128637.74,114777.0,2009,3,17,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,17.0,5.0,1.0,16.0,9.0,9.0,0.0,58.0,43.0,214.64,19.0,1.0,18.0,97622.74137931038,88943.0,1.0,1.0,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,17.0,5.0,2.0,19.0,17.0,17.0,0.0,30.0,17.0,200.623,19.0,1.0,17.0,111947.53333333334,99464.0,2.0,2.0,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,17.0,5.0
83,3,6,14,,18,0.0,43,38.0,168.925,15.0,1.0,14.0,133374.7441860465,116167.0,2009,3,17,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,20.0,0.0,1.0,11.0,,18.0,0.0,17.0,6.0,212.301,13.0,1.0,8.0,91822.23529411764,89923.0,1.0,1.0,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,20.0,0.0,2.0,11.0,12.0,12.0,0.0,31.0,17.0,200.778,12.0,1.0,14.0,111185.54838709676,99387.0,2.0,2.0,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,20.0,0.0
84,3,13,13,,19,0.0,20,16.0,168.466,13.0,1.0,13.0,139648.2,116484.0,2009,3,17,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,11.0,22.0,1.0,6.0,,16.0,0.0,45.0,30.0,214.164,7.0,1.0,3.0,97002.35555555556,89141.0,1.0,1.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,11.0,22.0,2.0,16.0,9.0,9.0,0.0,31.0,17.0,201.055,16.0,1.0,12.0,109921.09677419356,99250.0,2.0,2.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,11.0,22.0
85,3,15,6,,20,0.0,18,14.0,163.081,6.0,1.0,6.0,149046.72222222222,120330.0,2009,3,17,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,8.0,32.5,1.0,20.0,3.0,3.0,6.0,58.0,50.0,214.706,8.0,1.0,15.0,97541.1724137931,88916.0,1.0,1.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,8.0,32.5,2.0,2.0,4.0,4.0,2.5,31.0,12.0,204.473,2.0,1.0,2.0,108928.87096774194,97591.0,2.0,2.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,8.0,32.5
86,339,20,3,1.0,1,25.0,56,53.0,204.009,3.0,1.0,1.0,100507.35714285713,97813.0,2010,3,2,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,1.0,256.0,337.0,1.0,4.0,4.0,12.0,49.0,32.0,188.627,1.0,1.0,1.0,122432.55102040815,120218.0,1.0,3.0,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,1.0,256.0,338.0,1.0,,17.0,0.0,25.0,22.0,208.515,1.0,1.0,1.0,104770.28,91556.0,2.0,1.0,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,1.0,256.0
87,339,17,1,2.0,2,18.0,56,53.0,205.605,1.0,1.0,2.0,100633.73214285713,97054.0,2010,3,2,webber,,WEB,Mark,Webber,27/08/1976,Australian,3.0,242.0,337.0,6.0,8.0,8.0,4.0,49.0,45.0,189.781,6.0,1.0,7.0,122586.85714285714,119487.0,1.0,3.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,3.0,242.0,338.0,2.0,9.0,9.0,2.0,58.0,47.0,216.061,2.0,1.0,3.0,97997.41379310343,88358.0,2.0,1.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,3.0,242.0
88,339,3,2,3.0,3,15.0,56,53.0,203.352,2.0,1.0,3.0,100748.5,98129.0,2010,3,2,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,7.0,142.0,337.0,5.0,5.0,5.0,10.0,49.0,45.0,188.599,5.0,1.0,4.0,122461.40816326533,120236.0,1.0,3.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,7.0,142.0,338.0,6.0,5.0,5.0,10.0,58.0,53.0,215.742,6.0,1.0,5.0,97124.37931034484,88489.0,2.0,1.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,7.0,142.0
